name,id_kecamatan,kabupaten_kota_id
Tangse,110719,Kab. Pidie
Tiro/Truseb,110721,Kab. Pidie
Keumala,110722,Kab. Pidie
Mutiara Timur,110724,Kab. Pidie
Grong-grong,110725,Kab. Pidie
Mane,110727,Kab. Pidie
Glumpang Baro,110729,Kab. Pidie
Titeue,110731,Kab. Pidie
Baktiya,110801,Kab. Aceh Utara
Dewantara,110802,Kab. Aceh Utara
Kuta Makmur,110803,Kab. Aceh Utara
Lhoksukon,110804,Kab. Aceh Utara
Matangkuli,110805,Kab. Aceh Utara
Muara Batu,110806,Kab. Aceh Utara
Meurah Mulia,110807,Kab. Aceh Utara
Samudera,110808,Kab. Aceh Utara
Seunuddon,110809,Kab. Aceh Utara
Syamtalira Aron,110810,Kab. Aceh Utara
Syamtalira Bayu,110811,Kab. Aceh Utara
Tanah Luas,110812,Kab. Aceh Utara
Tanah Pasir,110813,Kab. Aceh Utara
T. Jambo Aye,110814,Kab. Aceh Utara
Sawang,110815,Kab. Aceh Utara
Nisam,110816,Kab. Aceh Utara
Cot Girek,110817,Kab. Aceh Utara
Langkahan,110818,Kab. Aceh Utara
Baktiya Barat,110819,Kab. Aceh Utara
Paya Bakong,110820,Kab. Aceh Utara
Nibong,110821,Kab. Aceh Utara
Simpang Kramat,110822,Kab. Aceh Utara
Lapang,110823,Kab. Aceh Utara
Pirak Timur,110824,Kab. Aceh Utara
Geuredong Pase,110825,Kab. Aceh Utara
Banda Baro,110826,Kab. Aceh Utara
Nisam Antara,110827,Kab. Aceh Utara
Simeulue Tengah,110901,Kab. Simeulue
Salang,110902,Kab. Simeulue
Teupah Barat,110903,Kab. Simeulue
Simeulue Timur,110904,Kab. Simeulue
Teluk Dalam,110905,Kab. Simeulue
Simeulue Barat,110906,Kab. Simeulue
Teupah Selatan,110907,Kab. Simeulue
Alafan,110908,Kab. Simeulue
Teupah Tengah,110909,Kab. Simeulue
Simeulue Cut,110910,Kab. Simeulue
Pulau Banyak,111001,Kab. Aceh Singkil
Simpang Kanan,111002,Kab. Aceh Singkil
Singkil,111004,Kab. Aceh Singkil
Gunung Meriah,111006,Kab. Aceh Singkil
Kota Baharu,111009,Kab. Aceh Singkil
Singkil Utara,111010,Kab. Aceh Singkil
Danau Paris,111011,Kab. Aceh Singkil
Suro Makmur,111012,Kab. Aceh Singkil
Singkohor,111013,Kab. Aceh Singkil
Kuala Baru,111014,Kab. Aceh Singkil
Pulau Banyak Barat,111016,Kab. Aceh Singkil
Samalanga,111101,Kab. Bireuen
Jeunieb,111102,Kab. Bireuen
Peudada,111103,Kab. Bireuen
Jeumpa,111104,Kab. Bireuen
Peusangan,111105,Kab. Bireuen
Makmur,111106,Kab. Bireuen
Gandapura,111107,Kab. Bireuen
Pandrah,111108,Kab. Bireuen
Juli,111109,Kab. Bireuen
Jangka,111110,Kab. Bireuen
Simpang Mamplam,111111,Kab. Bireuen
Peulimbang,111112,Kab. Bireuen
Kota Juang,111113,Kab. Bireuen
Kuala,111114,Kab. Bireuen
Peusangan Siblah Krueng,111115,Kab. Bireuen
Peusangan Selatan,111116,Kab. Bireuen
Kuta Blang,111117,Kab. Bireuen
Blangpidie,111201,Kab. Aceh Barat Daya
Tangan-Tangan,111202,Kab. Aceh Barat Daya
Manggeng,111203,Kab. Aceh Barat Daya
Susoh,111204,Kab. Aceh Barat Daya
Kuala Batee,111205,Kab. Aceh Barat Daya
Babah Rot,111206,Kab. Aceh Barat Daya
Setia,111207,Kab. Aceh Barat Daya
Jeumpa,111208,Kab. Aceh Barat Daya
Lembah Sabil,111209,Kab. Aceh Barat Daya
Blangkejeren,111301,Kab. Gayo Lues
Kutapanjang,111302,Kab. Gayo Lues
Rikit Gaib,111303,Kab. Gayo Lues
Terangun,111304,Kab. Gayo Lues
Pining,111305,Kab. Gayo Lues
Blangpegayon,111306,Kab. Gayo Lues
Puteri Betung,111307,Kab. Gayo Lues
Dabun Gelang,111308,Kab. Gayo Lues
Blangjerango,111309,Kab. Gayo Lues
Teripe Jaya,111310,Kab. Gayo Lues
Pantan Cuaca,111311,Kab. Gayo Lues
Teunom,111401,Kab. Aceh Jaya
Krueng Sabee,111402,Kab. Aceh Jaya
Setia Bakti,111403,Kab. Aceh Jaya
Sampoi Niet,111404,Kab. Aceh Jaya
Jaya,111405,Kab. Aceh Jaya
Panga,111406,Kab. Aceh Jaya
Indra Jaya,111407,Kab. Aceh Jaya
Darul Hikmah,111408,Kab. Aceh Jaya
Pasie Raya,111409,Kab. Aceh Jaya
Kuala,111501,Kab. Nagan Raya
Seunagan,111502,Kab. Nagan Raya
Seunagan Timur,111503,Kab. Nagan Raya
Beutong,111504,Kab. Nagan Raya
Darul Makmur,111505,Kab. Nagan Raya
Suka Makmue,111506,Kab. Nagan Raya
Kuala Pesisir,111507,Kab. Nagan Raya
Tadu Raya,111508,Kab. Nagan Raya
Tripa Makmur,111509,Kab. Nagan Raya
Beutong Ateuh Banggalang,111510,Kab. Nagan Raya
Manyak Payed,111601,Kab. Aceh Tamiang
Bendahara,111602,Kab. Aceh Tamiang
Karang Baru,111603,Kab. Aceh Tamiang
Seruway,111604,Kab. Aceh Tamiang
Kota Kualasinpang,111605,Kab. Aceh Tamiang
Kejuruan Muda,111606,Kab. Aceh Tamiang
Tamiang Hulu,111607,Kab. Aceh Tamiang
Rantau,111608,Kab. Aceh Tamiang
Banda Mulia,111609,Kab. Aceh Tamiang
Bandar Pusaka,111610,Kab. Aceh Tamiang
Tenggulun,111611,Kab. Aceh Tamiang
Sekerak,111612,Kab. Aceh Tamiang
Pintu Rime Gayo,111701,Kab. Bener Meriah
Permata,111702,Kab. Bener Meriah
Syiah Utama,111703,Kab. Bener Meriah
Bandar,111704,Kab. Bener Meriah
Bukit,111705,Kab. Bener Meriah
Wih Pesam,111706,Kab. Bener Meriah
Timang gajah,111707,Kab. Bener Meriah
Bener Kelipah,111708,Kab. Bener Meriah
Mesidah,111709,Kab. Bener Meriah
Gajah Putih,111710,Kab. Bener Meriah
Meureudu,111801,Kab. Pidie Jaya
Ulim,111802,Kab. Pidie Jaya
Jangka Buaya,111803,Kab. Pidie Jaya
Bandar Dua,111804,Kab. Pidie Jaya
Meurah Dua,111805,Kab. Pidie Jaya
Bandar Baru,111806,Kab. Pidie Jaya
Panteraja,111807,Kab. Pidie Jaya
Trienggadeng,111808,Kab. Pidie Jaya
Baiturrahman,117101,Kota Banda Aceh
Kuta Alam,117102,Kota Banda Aceh
Meuraxa,117103,Kota Banda Aceh
Syiah Kuala,117104,Kota Banda Aceh
Lueng Bata,117105,Kota Banda Aceh
Kuta Raja,117106,Kota Banda Aceh
Banda Raya,117107,Kota Banda Aceh
Jaya Baru,117108,Kota Banda Aceh
Ulee Kareng,117109,Kota Banda Aceh
Sukakarya,117201,Kota Sabang
Sukajaya,117202,Kota Sabang
Sukamakmue,117203,Kota Sabang
Muara Dua,117301,Kota Lhokseumawe
Banda Sakti,117302,Kota Lhokseumawe
Blang Mangat,117303,Kota Lhokseumawe
Muara Satu,117304,Kota Lhokseumawe
Langsa Timur,117401,Kota Langsa
Langsa Barat,117402,Kota Langsa
Langsa Kota,117403,Kota Langsa
Langsa Lama,117404,Kota Langsa
Langsa Baro,117405,Kota Langsa
Simpang Kiri,117501,Kota Subulussalam
Penanggalan,117502,Kota Subulussalam
Rundeng,117503,Kota Subulussalam
Sultan Daulat,117504,Kota Subulussalam
Longkib,117505,Kota Subulussalam
Barus,120101,Kab. Tapanuli Tengah
Sorkam,120102,Kab. Tapanuli Tengah
Pandan,120103,Kab. Tapanuli Tengah
Pinangsori,120104,Kab. Tapanuli Tengah
Manduamas,120105,Kab. Tapanuli Tengah
Kolang,120106,Kab. Tapanuli Tengah
Tapian Nauli,120107,Kab. Tapanuli Tengah
Sibabangun,120108,Kab. Tapanuli Tengah
Sosorgadong,120109,Kab. Tapanuli Tengah
Sorkam Barat,120110,Kab. Tapanuli Tengah
Sirandorung,120111,Kab. Tapanuli Tengah
Andam Dewi,120112,Kab. Tapanuli Tengah
Sitahuis,120113,Kab. Tapanuli Tengah
Tukka,120114,Kab. Tapanuli Tengah
Badiri,120115,Kab. Tapanuli Tengah
Pasaribu Tobing,120116,Kab. Tapanuli Tengah
Barus Utara,120117,Kab. Tapanuli Tengah
Suka Bangun,120118,Kab. Tapanuli Tengah
Lumut,120119,Kab. Tapanuli Tengah
Sarudik,120120,Kab. Tapanuli Tengah
Tarutung,120201,Kab. Tapanuli Utara
Siatas Barita,120202,Kab. Tapanuli Utara
Adian Koting,120203,Kab. Tapanuli Utara
Sipoholon,120204,Kab. Tapanuli Utara
Pahae Julu,120205,Kab. Tapanuli Utara
Pahae Jae,120206,Kab. Tapanuli Utara
Simangumban,120207,Kab. Tapanuli Utara
Purba Tua,120208,Kab. Tapanuli Utara
Siborong-Borong,120209,Kab. Tapanuli Utara
Pagaran,120210,Kab. Tapanuli Utara
Parmonangan,120211,Kab. Tapanuli Utara
Sipahutar,120212,Kab. Tapanuli Utara
Pangaribuan,120213,Kab. Tapanuli Utara
Garoga,120214,Kab. Tapanuli Utara
Muara,120215,Kab. Tapanuli Utara
Angkola Barat,120301,Kab. Tapanuli Selatan
Batang Toru,120302,Kab. Tapanuli Selatan
Angkola Timur,120303,Kab. Tapanuli Selatan
Sipirok,120304,Kab. Tapanuli Selatan
Saipar Dolok Hole,120305,Kab. Tapanuli Selatan
Angkola Selatan,120306,Kab. Tapanuli Selatan
Batang Angkola,120307,Kab. Tapanuli Selatan
Arse,120314,Kab. Tapanuli Selatan
Marancar,120320,Kab. Tapanuli Selatan
Sayur Matinggi,120321,Kab. Tapanuli Selatan
Aek Bilah,120322,Kab. Tapanuli Selatan
Muara Batang Toru,120329,Kab. Tapanuli Selatan
Tano Tombangan Angkola,120330,Kab. Tapanuli Selatan
Angkola Sangkunur,120331,Kab. Tapanuli Selatan
Angkola Muara Tais,120332,Kab. Tapanuli Selatan
Hiliduho,120405,Kab. Nias
Gido,120406,Kab. Nias
Idanogawo,120410,Kab. Nias
Bawolato,120411,Kab. Nias
Hiliserangkai,120420,Kab. Nias
Botomuzoi,120421,Kab. Nias
Ulugawo,120427,Kab. Nias
Ma'u,120428,Kab. Nias
Somolo-molo,120429,Kab. Nias
Sogae'adu,120435,Kab. Nias
Bahorok,120501,Kab. Langkat
Salapian,120502,Kab. Langkat
Kuala,120503,Kab. Langkat
Sei Bingai,120504,Kab. Langkat
Binjai,120505,Kab. Langkat
Selesai,120506,Kab. Langkat
Stabat,120507,Kab. Langkat
Wampu,120508,Kab. Langkat
Secanggang,120509,Kab. Langkat
Hinai,120510,Kab. Langkat
Tanjung Pura,120511,Kab. Langkat
Padang Tualang,120512,Kab. Langkat
Gebang,120513,Kab. Langkat
Babalan,120514,Kab. Langkat
Pangkalan Susu,120515,Kab. Langkat
Besitang,120516,Kab. Langkat
Sei Lepan,120517,Kab. Langkat
Berandan Barat,120518,Kab. Langkat
Batang Serangan,120519,Kab. Langkat
Sawit Seberang,120520,Kab. Langkat
Sirapit,120521,Kab. Langkat
Kutambaru,120522,Kab. Langkat
Pematang Jaya,120523,Kab. Langkat
Kabanjahe,120601,Kab. Karo
Berastagi,120602,Kab. Karo
Barusjahe,120603,Kab. Karo
Tigapanah,120604,Kab. Karo
Merek,120605,Kab. Karo
Munte,120606,Kab. Karo
Juhar,120607,Kab. Karo
Tigabinanga,120608,Kab. Karo
Laubaleng,120609,Kab. Karo
Mardingding,120610,Kab. Karo
Payung,120611,Kab. Karo
Simpang Empat,120612,Kab. Karo
Kutabuluh,120613,Kab. Karo
Dolat Rayat,120614,Kab. Karo
Merdeka,120615,Kab. Karo
Naman Teran,120616,Kab. Karo
Tiganderket,120617,Kab. Karo
Gunung Meriah,120701,Kab. Deli Serdang
Tanjung Morawa,120702,Kab. Deli Serdang
Sibolangit,120703,Kab. Deli Serdang
Kutalimbaru,120704,Kab. Deli Serdang
Pancur Batu,120705,Kab. Deli Serdang
Namo Rambe,120706,Kab. Deli Serdang
Biru-Biru,120707,Kab. Deli Serdang
STM Hilir,120708,Kab. Deli Serdang
Bangun Purba,120709,Kab. Deli Serdang
Galang,120719,Kab. Deli Serdang
STM Hulu,120720,Kab. Deli Serdang
Patumbak,120721,Kab. Deli Serdang
Deli Tua,120722,Kab. Deli Serdang
Sunggal,120723,Kab. Deli Serdang
Hamparan Perak,120724,Kab. Deli Serdang
Labuhan Deli,120725,Kab. Deli Serdang
Percut Sei Tuan,120726,Kab. Deli Serdang
Batang Kuis,120727,Kab. Deli Serdang
Lubuk Pakam,120728,Kab. Deli Serdang
Pagar Merbau,120731,Kab. Deli Serdang
Pantai Labu,120732,Kab. Deli Serdang
Beringin,120733,Kab. Deli Serdang
Siantar,120801,Kab. Simalungun
Gunung Malela,120802,Kab. Simalungun
Gunung Maligas,120803,Kab. Simalungun
Panei,120804,Kab. Simalungun
Panombeian Panei,120805,Kab. Simalungun
Jorlang Hataran,120806,Kab. Simalungun
Raya Kahean,120807,Kab. Simalungun
Bosar Maligas,120808,Kab. Simalungun
Sidamanik,120809,Kab. Simalungun
Pamatang Sidamanik,120810,Kab. Simalungun
Tanah Jawa,120811,Kab. Simalungun
Hatonduhan,120812,Kab. Simalungun
Dolok Panribuan,120813,Kab. Simalungun
Purba,120814,Kab. Simalungun
Haranggaol Horisan,120815,Kab. Simalungun
Girsang Sipangan Bolon,120816,Kab. Simalungun
Dolok Batu Nanggar,120817,Kab. Simalungun
Huta Bayu Raja,120818,Kab. Simalungun
Jawa Maraja Bah Jambi,120819,Kab. Simalungun
Dolok Pardamean,120820,Kab. Simalungun
Pematang Bandar,120821,Kab. Simalungun
Bandar Huluan,120822,Kab. Simalungun
Bandar,120823,Kab. Simalungun
Bandar Masilam,120824,Kab. Simalungun
Silimakuta,120825,Kab. Simalungun
Dolok Silou,120826,Kab. Simalungun
Silou Kahean,120827,Kab. Simalungun
Tapian Dolok,120828,Kab. Simalungun
Raya,120829,Kab. Simalungun
Ujung Padang,120830,Kab. Simalungun
Pamatang Silima Huta,120831,Kab. Simalungun
Dolog Masagal,120832,Kab. Simalungun
Meranti,120908,Kab. Asahan
Air Joman,120909,Kab. Asahan
Tanjung Balai,120910,Kab. Asahan
Sei Kepayang,120911,Kab. Asahan
Simpang Empat,120912,Kab. Asahan
Air Batu,120913,Kab. Asahan
Pulau Rakyat,120914,Kab. Asahan
Bandar Pulau,120915,Kab. Asahan
Buntu Pane,120916,Kab. Asahan
Bandar Pasir Mandoge,120917,Kab. Asahan
Aek Kuasan,120918,Kab. Asahan
Kota Kisaran Barat,120919,Kab. Asahan
Kota Kisaran Timur,120920,Kab. Asahan
Aek Songsongan,120921,Kab. Asahan
Rahunig,120922,Kab. Asahan
Sei Dadap,120923,Kab. Asahan
Sei Kepayang Barat,120924,Kab. Asahan
Sei Kepayang Timur,120925,Kab. Asahan
Tinggi Raja,120926,Kab. Asahan
Setia Janji,120927,Kab. Asahan
Silau Laut,120928,Kab. Asahan
Rawang Panca Arga,120929,Kab. Asahan
Pulo Bandring,120930,Kab. Asahan
Teluk Dalam,120931,Kab. Asahan
Aek Ledong,120932,Kab. Asahan
Rantau Utara,121001,Kab. Labuhanbatu
Rantau Selatan,121002,Kab. Labuhanbatu
Bilah Barat,121007,Kab. Labuhanbatu
Bilah Hilir,121008,Kab. Labuhanbatu
Bilah Hulu,121009,Kab. Labuhanbatu
Pangkatan,121014,Kab. Labuhanbatu
Panai Tengah,121018,Kab. Labuhanbatu
Panai Hilir,121019,Kab. Labuhanbatu
Panai Hulu,121020,Kab. Labuhanbatu
Sidikalang,121101,Kab. Dairi
Sumbul,121102,Kab. Dairi
Tigalingga,121103,Kab. Dairi
Siempat Nempu,121104,Kab. Dairi
Silima Pungga Pungga,121105,Kab. Dairi
Tanah Pinem,121106,Kab. Dairi
Siempat Nempu Hulu,121107,Kab. Dairi
Siempat Nempu Hilir,121108,Kab. Dairi
Pegagan Hilir,121109,Kab. Dairi
Parbuluan,121110,Kab. Dairi
Lae Parira,121111,Kab. Dairi
Gunung Sitember,121112,Kab. Dairi
Berampu,121113,Kab. Dairi
Silahisabungan,121114,Kab. Dairi
Sitinjo,121115,Kab. Dairi
Balige,121201,Kab. Toba
Laguboti,121202,Kab. Toba
Silaen,121203,Kab. Toba
Habinsaran,121204,Kab. Toba
Pintu Pohan Meranti,121205,Kab. Toba
Borbor,121206,Kab. Toba
Porsea,121207,Kab. Toba
Ajibata,121208,Kab. Toba
Lumban Julu,121209,Kab. Toba
Uluan,121210,Kab. Toba
Sigumpar,121219,Kab. Toba
Siantar Narumonda,121220,Kab. Toba
Nassau,121221,Kab. Toba
Tampahan,121222,Kab. Toba
Bonatua Lunasi,121223,Kab. Toba
Parmaksian,121224,Kab. Toba
Panyabungan,121301,Kab. Mandailing Natal
Panyabungan Utara,121302,Kab. Mandailing Natal
Panyabungan Timur,121303,Kab. Mandailing Natal
Panyabungan Selatan,121304,Kab. Mandailing Natal
Panyabungan Barat,121305,Kab. Mandailing Natal
Siabu,121306,Kab. Mandailing Natal
Bukit Malintang,121307,Kab. Mandailing Natal
Kotanopan,121308,Kab. Mandailing Natal
Lembah Sorik Marapi,121309,Kab. Mandailing Natal
Tambangan,121310,Kab. Mandailing Natal
Ulu Pungkut,121311,Kab. Mandailing Natal
Muara Sipongi,121312,Kab. Mandailing Natal
Batang Natal,121313,Kab. Mandailing Natal
Lingga Bayu,121314,Kab. Mandailing Natal
Batahan,121315,Kab. Mandailing Natal
Natal,121316,Kab. Mandailing Natal
Muara Batang Gadis,121317,Kab. Mandailing Natal
Ranto Baek,121318,Kab. Mandailing Natal
Huta Bargot,121319,Kab. Mandailing Natal
Puncak Sorik Marapi,121320,Kab. Mandailing Natal
Pakantan,121321,Kab. Mandailing Natal
Sinunukan,121322,Kab. Mandailing Natal
Naga Juang,121323,Kab. Mandailing Natal
Lolomatua,121401,Kab. Nias Selatan
Gomo,121402,Kab. Nias Selatan
Lahusa,121403,Kab. Nias Selatan
Hibala,121404,Kab. Nias Selatan
Pulau-Pulau Batu,121405,Kab. Nias Selatan
Teluk Dalam,121406,Kab. Nias Selatan
Amandraya,121407,Kab. Nias Selatan
Lolowau,121408,Kab. Nias Selatan
Susua,121409,Kab. Nias Selatan
Maniamolo,121410,Kab. Nias Selatan
Hilimegai,121411,Kab. Nias Selatan
Toma,121412,Kab. Nias Selatan
Mazino,121413,Kab. Nias Selatan
Umbunasi,121414,Kab. Nias Selatan
Aramo,121415,Kab. Nias Selatan
Pulau-Pulau Batu Timur,121416,Kab. Nias Selatan
Mazo,121417,Kab. Nias Selatan
Fanayama,121418,Kab. Nias Selatan
Ulunoyo,121419,Kab. Nias Selatan
Huruna,121420,Kab. Nias Selatan
O'o'u,121421,Kab. Nias Selatan
Onohazumba,121422,Kab. Nias Selatan
Hilisalawa'ahe,121423,Kab. Nias Selatan
Ulususua,121424,Kab. Nias Selatan
Sidua'ori,121425,Kab. Nias Selatan
Somambawa,121426,Kab. Nias Selatan
Boronadu,121427,Kab. Nias Selatan
Simuk,121428,Kab. Nias Selatan
Pulau-Pulau Batu Barat,121429,Kab. Nias Selatan
Pulau-Pulau Batu Utara,121430,Kab. Nias Selatan
Tanah Masa,121431,Kab. Nias Selatan
Luahagundre Maniamolo,121432,Kab. Nias Selatan
Onolalu,121433,Kab. Nias Selatan
Ulu Idanotae,121434,Kab. Nias Selatan
Idanotae,121435,Kab. Nias Selatan
Sitelu Tali Urang Jehe,121501,Kab. Pakpak Bharat
Kerajaan,121502,Kab. Pakpak Bharat
Salak,121503,Kab. Pakpak Bharat
Sitelu Tali Urang Julu,121504,Kab. Pakpak Bharat
Pergetteng Getteng Sengkut,121505,Kab. Pakpak Bharat
Pagindar,121506,Kab. Pakpak Bharat
Tinada,121507,Kab. Pakpak Bharat
Siempat Rube,121508,Kab. Pakpak Bharat
Parlilitan,121601,Kab. Humbang Hasundutan
Pollung,121602,Kab. Humbang Hasundutan
Baktiraja,121603,Kab. Humbang Hasundutan
Paranginan,121604,Kab. Humbang Hasundutan
Lintong Nihuta,121605,Kab. Humbang Hasundutan
Dolok Sanggul,121606,Kab. Humbang Hasundutan
Sijamapolang,121607,Kab. Humbang Hasundutan
Onan Ganjang,121608,Kab. Humbang Hasundutan
Pakkat,121609,Kab. Humbang Hasundutan
Tarabintang,121610,Kab. Humbang Hasundutan
Simanindo,121701,Kab. Samosir
Onan Runggu,121702,Kab. Samosir
Nainggolan,121703,Kab. Samosir
Palipi,121704,Kab. Samosir
Harian,121705,Kab. Samosir
Sianjar Mula Mula,121706,Kab. Samosir
Ronggur Nihuta,121707,Kab. Samosir
Pangururan,121708,Kab. Samosir
Sitio-tio,121709,Kab. Samosir
Pantai Cermin,121801,Kab. Serdang Bedagai
Perbaungan,121802,Kab. Serdang Bedagai
Teluk Mengkudu,121803,Kab. Serdang Bedagai
Sei Rampah,121804,Kab. Serdang Bedagai
Tanjung Beringin,121805,Kab. Serdang Bedagai
Bandar Khalipah,121806,Kab. Serdang Bedagai
Dolok Merawan,121807,Kab. Serdang Bedagai
Sipispis,121808,Kab. Serdang Bedagai
Dolok Masihul,121809,Kab. Serdang Bedagai
Kotarih,121810,Kab. Serdang Bedagai
Silinda,121811,Kab. Serdang Bedagai
Serba Jadi,121812,Kab. Serdang Bedagai
Tebing Tinggi,121813,Kab. Serdang Bedagai
Pegajahan,121814,Kab. Serdang Bedagai
Sei Bamban,121815,Kab. Serdang Bedagai
Tebing Syahbandar,121816,Kab. Serdang Bedagai
Bintang Bayu,121817,Kab. Serdang Bedagai
Medang Deras,121901,Kab. Batu Bara
Sei Suka,121902,Kab. Batu Bara
Air Putih,121903,Kab. Batu Bara
Lima Puluh,121904,Kab. Batu Bara
Talawi,121905,Kab. Batu Bara
Tanjung Tiram,121906,Kab. Batu Bara
Sei Balai,121907,Kab. Batu Bara
Laut Tador,121908,Kab. Batu Bara
Lima Puluh Pesisir,121909,Kab. Batu Bara
Datuk Lima Puluh,121910,Kab. Batu Bara
Datuk Tanah Datar,121911,Kab. Batu Bara
Nibung Hangus,121912,Kab. Batu Bara
Dolok Sigompulon,122001,Kab. Padang Lawas Utara
